Species_W&R05,Species_W&R93,Clade,Order,Family,AdultBodyMass_g,MaxLongevity_m,CitationCountMarch2011,PSR,WBC
Nasua narica,Nasua narica,C,CARNIVORA,PROCYONIDAE,4578.43,212,182,7,9.182
Nasua nasua,Nasua nasua,C,CARNIVORA,PROCYONIDAE,3775.5,212.4,254,6,10.77
Neofelis nebulosa,Neofelis nebulosa,C,CARNIVORA,FELIDAE,14945.05,237.6,254,3,12.9
Neotragus moschatus,Neotragus moschatus,U,CETARTIODACTYLA,BOVIDAE,5639.01,168,50,10,4.713
Neovison vison,Mustela vison,C,CARNIVORA,MUSTELIDAE,925,136.8,3652,57,NA
Nomascus concolor,Nomascus concolor,P,PRIMATES,HYLOBATIDAE,6410.47,529.2,68,1,NA
Nyctereutes procyonoides,Nyctereutes procyonoides,C,CARNIVORA,CANIDAE,4214.99,168,950,59,NA
Nycticebus coucang,Nycticebus coucang,P,PRIMATES,LORISIDAE,924.55,318,535,7,10.04
Odocoileus hemionus,Odocoileus hemionus,U,CETARTIODACTYLA,CERVIDAE,84560.57,264,2918,74,5.603
Odocoileus virginianus,Odocoileus virginianus,U,CETARTIODACTYLA,CERVIDAE,75901.25,276,6579,105,3.539
Oreamnos americanus,Oreamnos americanus,U,CETARTIODACTYLA,BOVIDAE,72105.4,230.04,375,5,8.152
Oreotragus oreotragus,Oreotragus oreotragus,U,CETARTIODACTYLA,BOVIDAE,13486.55,213.96,112,1,5.935
Oryx gazella,Oryx gazella,U,CETARTIODACTYLA,BOVIDAE,188404.45,240,268,45,6.687
Otocyon megalotis,Otocyon megalotis,C,CARNIVORA,CANIDAE,4098.12,165.6,133,6,6.785
Otolemur crassicaudatus,Otolemur crassicaudatus,P,PRIMATES,GALAGIDAE,1206.61,225.6,129,6,9.566
Ourebia ourebi,Ourebia ourebi,U,CETARTIODACTYLA,BOVIDAE,17186.09,189.96,123,12,NA
Ovibos moschatus,Ovibos moschatus,U,CETARTIODACTYLA,BOVIDAE,312500,288,954,31,6.494
Ovis ammon,Ovis ammon,U,CETARTIODACTYLA,BOVIDAE,113998.72,180.96,686,9,NA
Ovis aries,Ovis aries,U,CETARTIODACTYLA,BOVIDAE,39097.89,230.04,5475,31,6.622
Ovis canadensis,Ovis canadensis,U,CETARTIODACTYLA,BOVIDAE,74644.87,288,1458,60,8.02
Ovis dalli,Ovis dalli,U,CETARTIODACTYLA,BOVIDAE,70194.13,192,315,4,7.189
Ozotoceros bezoarticus,Ozotoceros bezoarticus,U,CETARTIODACTYLA,CERVIDAE,34620.4,262.8,129,4,NA
Paguma larvata,Paguma larvata,C,CARNIVORA,VIVERRIDAE,4300,328.8,233,3,NA
Pan paniscus,Pan paniscus,P,PRIMATES,HOMINIDAE,35119.95,576,1794,11,12.45
Pan troglodytes,Pan troglodytes,P,PRIMATES,HOMINIDAE,45000,720,13187,69,10.8
Panthera leo,Panthera leo,C,CARNIVORA,FELIDAE,158623.93,360,2074,55,13.14
Panthera onca,Panthera onca,C,CARNIVORA,FELIDAE,83943.09,276,723,2,11.77
Panthera pardus,Panthera pardus,C,CARNIVORA,FELIDAE,52399.99,276,1469,24,12.95
Panthera tigris,Panthera tigris,C,CARNIVORA,FELIDAE,161914.66,315.6,2099,18,11.6
Papio anubis,Papio anubis,P,PRIMATES,CERCOPITHECIDAE,17728.56,302.4,2407,62,NA
Papio cynocephalus,Papio hamadryas,P,PRIMATES,CERCOPITHECIDAE,15822.15,540,4088,59,NA
Papio hamadryas,Papio hamadryas,P,PRIMATES,CERCOPITHECIDAE,14007.08,450,1911,21,11.55
Papio ursinus,Papio hamadryas,P,PRIMATES,CERCOPITHECIDAE,17729.44,540,2860,61,NA
Pecari tajacu,Pecari tajacu,U,CETARTIODACTYLA,TAYASSUIDAE,21133.69,296.4,277,2,7.884
Pelea capreolus,Pelea capreolus,U,CETARTIODACTYLA,BOVIDAE,22731.33,147.96,60,26,NA
Perodicticus potto,Perodicticus potto,P,PRIMATES,LORISIDAE,1081.81,312,231,7,8.663
Phacochoerus aethiopicus,Phacochoerus aethiopicus,U,CETARTIODACTYLA,SUIDAE,75607.52,225.6,552,60,8.252
Philantomba monticola,Cephalophus monticola,U,CETARTIODACTYLA,BOVIDAE,4896.05,144,182,9,5.119
Pithecia irrorata,Pithecia irrorata,P,PRIMATES,PITHECIIDAE,2308.17,192,24,6,NA
Pithecia monachus,Pithecia monachus,P,PRIMATES,PITHECIIDAE,2109.55,295.2,40,1,NA
Pithecia pithecia,Pithecia pithecia,P,PRIMATES,PITHECIIDAE,1667.19,248.4,203,13,11.2
Pongo pygmaeus,Pongo pygmaeus,P,PRIMATES,HOMINIDAE,53408.29,720,3268,28,10.32
Potamochoerus larvatus,Potamochoerus larvatus,U,CETARTIODACTYLA,SUIDAE,69063.79,193.2,40,2,NA
Potamochoerus porcus,Potamochoerus porcus,U,CETARTIODACTYLA,SUIDAE,70000.31,240,167,11,7.329
Potos flavus,Potos flavus,C,CARNIVORA,PROCYONIDAE,2441.81,348,162,1,8.312
Presbytis melalophos,Presbytis melalophos,P,PRIMATES,CERCOPITHECIDAE,6439.12,192,93,6,NA
Prionailurus bengalensis,Prionailurus bengalensis,C,CARNIVORA,FELIDAE,2780.97,180,136,10,7.974
Procapra gutturosa,Procapra gutturosa,U,CETARTIODACTYLA,BOVIDAE,28274.27,84,131,4,NA
Procyon lotor,Procyon lotor,C,CARNIVORA,PROCYONIDAE,6373.72,252,2800,97,9.251
Prolemur simus,Hapalemur simus,P,PRIMATES,LEMURIDAE,2030.41,144,97,1,NA
Propithecus diadema,Propithecus diadema,P,PRIMATES,INDRIIDAE,6568.99,324,216,7,8.267
Propithecus tattersalli,Propithecus tattersalli,P,PRIMATES,INDRIIDAE,3531.39,240,38,1,6.893
Propithecus verreauxi,Propithecus verreauxi,P,PRIMATES,INDRIIDAE,3588.26,247.2,453,16,7.634
Proteles cristata,Proteles cristatus,C,CARNIVORA,HYAENIDAE,8139.39,300,139,4,9.045
Pteronura brasiliensis,Pteronura brasiliensis,C,CARNIVORA,MUSTELIDAE,26000,154,160,1,NA
Puma concolor,Puma concolor,C,CARNIVORA,FELIDAE,53954.05,240,1044,58,6.848
Puma yagouaroundi,Herpailurus yaguarondi,C,CARNIVORA,FELIDAE,6875,127.83,66,4,7.974
Rangifer tarandus,Rangifer tarandus,U,CETARTIODACTYLA,CERVIDAE,109088.5,242.4,5029,37,5.457
Raphicerus campestris,Raphicerus campestris,U,CETARTIODACTYLA,BOVIDAE,11661.53,168,125,17,NA
Raphicerus melanotis,Raphicerus melanotis,U,CETARTIODACTYLA,BOVIDAE,10503.14,168,35,13,NA
Redunca arundinum,Redunca arundinum,U,CETARTIODACTYLA,BOVIDAE,58059.24,201,102,39,NA
Redunca fulvorufula,Redunca fulvorufula,U,CETARTIODACTYLA,BOVIDAE,29352.66,147.96,104,10,NA
Redunca redunca,Redunca redunca,U,CETARTIODACTYLA,BOVIDAE,43288.95,216,102,4,NA
Rhinoceros unicornis,Rhinoceros unicornis,U,PERISSODACTYLA,RHINOCEROTIDAE,1843655.8,588,565,1,7.21
Rucervus duvaucelii,Cervus duvaucelii,U,CETARTIODACTYLA,CERVIDAE,171223.86,24.5,15,3,5.192
Rupicapra pyrenaica,Rupicapra pyrenaica,U,CETARTIODACTYLA,BOVIDAE,29999.99,147.6,257,14,NA
Rupicapra rupicapra,Rupicapra rupicapra,U,CETARTIODACTYLA,BOVIDAE,33266.35,264,972,56,7.094
Rusa unicolor,Cervus unicolor,U,CETARTIODACTYLA,CERVIDAE,177522.9,317.04,547,25,5.539
Saguinus fuscicollis,Saguinus fuscicollis,P,PRIMATES,CALLITRICHIDAE,393.99,294,744,24,8.829
Saguinus geoffroyi,Saguinus geoffroyi,P,PRIMATES,CALLITRICHIDAE,492.5,246,100,14,13.19
Saguinus labiatus,Saguinus labiatus,P,PRIMATES,CALLITRICHIDAE,508.46,246,219,5,14.46
Saguinus leucopus,Saguinus leucopus,P,PRIMATES,CALLITRICHIDAE,456.68,182.4,34,2,NA
Saguinus midas,Saguinus midas,P,PRIMATES,CALLITRICHIDAE,540.56,184.8,144,17,15.51
Saguinus mystax,Saguinus mystax,P,PRIMATES,CALLITRICHIDAE,555.87,240,360,12,14.96
Saguinus nigricollis,Saguinus nigricollis,P,PRIMATES,CALLITRICHIDAE,450,182.4,109,12,NA
Saguinus oedipus,Saguinus oedipus,P,PRIMATES,CALLITRICHIDAE,462.04,277.2,1476,6,10.96
Saimiri boliviensis,Saimiri boliviensis,P,PRIMATES,CEBIDAE,799.45,363.6,292,5,7.841
Saimiri sciureus,Saimiri sciureus,P,PRIMATES,CEBIDAE,749.47,324,4021,40,8.623
Semnopithecus entellus,Semnopithecus entellus,P,PRIMATES,CERCOPITHECIDAE,12679.29,300,269,12,8.742
Speothos venaticus,Speothos venaticus,C,CARNIVORA,CANIDAE,6324.54,169.2,137,3,12.2
Spilogale putorius,Spilogale putorius,C,CARNIVORA,MEPHITIDAE,566.49,126,185,6,6.808
Suricata suricatta,Suricata suricatta,C,CARNIVORA,HERPESTIDAE,729.99,150,301,1,6.174
Sus barbatus,Sus barbatus,U,CETARTIODACTYLA,SUIDAE,135805.95,194.4,104,2,NA
Sus scrofa,Sus scrofa,U,CETARTIODACTYLA,SUIDAE,84471.54,252,100000,101,10.79
Sylvicapra grimmia,Sylvicapra grimmia,U,CETARTIODACTYLA,BOVIDAE,15639.15,171.96,231,46,NA
Symphalangus syndactylus,Hylobates syndactylus,P,PRIMATES,HYLOBATIDAE,10839,456,472,2,11.83
Syncerus caffer,Syncerus caffer,U,CETARTIODACTYLA,BOVIDAE,592665.98,354,1350,29,6.31
Tapirus indicus,Tapirus indicus,U,PERISSODACTYLA,TAPIRIDAE,311209.19,360,170,1,8.557
Tapirus terrestris,Tapirus terrestris,U,PERISSODACTYLA,TAPIRIDAE,169496.64,420,309,2,9.669
Tarsius bancanus,Tarsius bancanus,P,PRIMATES,TARSIIDAE,114.39,144,161,2,NA
Taurotragus oryx,Taurotragus oryx,U,CETARTIODACTYLA,BOVIDAE,562592.69,300,718,31,5.349
